Fecha: 11:08 26-11-2025 | Mensaje: Array to string conversion | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\prueba.php | Línea: 8 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:11 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 13:14 28-11-2025 | Mensaje: Undefined array key "ultima_actividad" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 39 | Usuario: A8Alumno07 | IP: ::1
Fecha: 14:12 28-11-2025 | Mensaje: Array to string conversion | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\prueba.php | Línea: 6 | Usuario: A8Alumno07 | IP: ::1
Fecha: 14:40 02-12-2025 | Mensaje: Undefined array key "username" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\listado.php | Línea: 33 | Usuario: A8Alumno07 | IP: ::1
Fecha: 14:40 02-12-2025 | Mensaje: Undefined array key "username" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\listado.php | Línea: 33 | Usuario: A8Alumno07 | IP: ::1
Fecha: 14:40 02-12-2025 | Mensaje: Undefined array key "username" | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\listado.php | Línea: 33 | Usuario: A8Alumno07 | IP: ::1
